StockDate,open,high,low,close,vol,amount
2019/11/22,8.88,8.91,8.85,8.87,8721.51,7738.8
2019/11/21,8.88,8.92,8.83,8.88,8574.5,7616.99
2019/11/20,8.88,8.89,8.85,8.87,9814,8705.01
2019/11/19,8.81,8.89,8.8,8.88,10615.5,9406.87
2019/11/18,8.84,8.85,8.8,8.81,12177.5,10749.79
2019/11/15,8.93,8.95,8.85,8.86,11345,10083.51
2019/11/14,8.87,8.98,8.82,8.95,17348.87,15453.03
2019/11/13,8.88,8.94,8.86,8.89,14170,12601.14
2019/11/12,8.9,8.93,8.84,8.9,11774.02,10452.18
2019/11/11,9.04,9.04,8.89,8.9,18992,16985.82
2019/11/8,9.13,9.14,9.06,9.06,17003.87,15464
2019/11/7,9.11,9.15,9.03,9.11,14481,13170.16
2019/11/6,9.03,9.17,9.02,9.09,28858.14,26266.14
2019/11/5,9.02,9.12,8.97,9.04,25849,23381.07
2019/11/4,8.98,9.02,8.94,9.01,21246.21,19113.28
2019/11/1,9,9,8.87,8.98,15665.74,13976.44
2019/10/31,8.99,9.02,8.92,8.98,14704.52,13211.38
2019/10/30,9.01,9.01,8.91,8.96,12515.3,11201.03
2019/10/29,9,9.04,8.96,9.01,21909.15,19705.47
2019/10/28,8.92,9.03,8.9,9.02,17254.96,15495.7
2019/10/25,8.89,8.93,8.85,8.92,11933.54,10615
2019/10/24,8.9,8.9,8.85,8.89,9322.3,8268.73
2019/10/23,8.91,8.92,8.86,8.88,14726.27,13083.57
2019/10/22,8.9,8.96,8.87,8.91,9992,8881.89
2019/10/21,8.88,8.92,8.83,8.92,8016,7125.04
2019/10/18,8.93,8.98,8.85,8.88,16787.8,14955.79
2019/10/17,8.96,9.01,8.91,8.93,15726.8,14075.61
2019/10/16,9.04,9.06,8.95,8.98,22267.89,20034.88
2019/10/15,9.09,9.09,8.99,9.02,11051.71,9972.62
2019/10/14,9.05,9.11,9.01,9.08,19263.57,17475.88
2019/10/11,8.98,9.04,8.94,8.98,12767,11479.25
2019/10/10,8.95,9.02,8.92,8.99,18522.16,16626.65
2019/10/9,8.88,8.94,8.85,8.93,14422,12836.14
2019/10/8,9.01,9.05,8.88,8.93,29853.05,26730.05
2019/9/30,9.18,9.19,9.01,9.02,27896.45,25282.16
2019/9/27,9.08,9.19,9.08,9.19,25670.9,23483.77
2019/9/26,9.28,9.32,9.03,9.06,34864.09,31850.32
2019/9/25,9.39,9.39,9.26,9.26,26805.53,24906.37
2019/9/24,9.46,9.48,9.35,9.38,37703.04,35485.58
2019/9/23,9.59,9.59,9.43,9.46,32042.5,30409.72
2019/9/20,9.74,9.74,9.51,9.6,69866.27,66980.76
2019/9/19,9.4,9.75,9.39,9.75,96264.09,92763.29
2019/9/18,9.38,9.42,9.33,9.38,17316.19,16240.35
2019/9/17,9.56,9.57,9.35,9.37,30640.71,28903.3
2019/9/16,9.6,9.63,9.56,9.59,29007.7,27831.08
2019/9/12,9.52,9.63,9.48,9.6,28294.51,27049.63
2019/9/11,9.64,9.65,9.48,9.49,31170.51,29737.9
2019/9/10,9.64,9.67,9.56,9.62,30198.89,29028.7
2019/9/9,9.52,9.64,9.51,9.62,45472.12,43551.39
2019/9/6,9.52,9.53,9.43,9.48,30503.59,28889.24
2019/9/5,9.51,9.58,9.45,9.47,55007.07,52282.46
2019/9/4,9.3,9.5,9.26,9.49,47624.91,44592.06
2019/9/3,9.31,9.32,9.25,9.31,17530.06,16278.14
2019/9/2,9.13,9.31,9.11,9.31,32999.83,30501.96
2019/8/30,9.28,9.31,9.06,9.14,26069.5,23939.1
2019/8/29,9.29,9.32,9.23,9.25,18107,16778.44
2019/8/28,9.2,9.42,9.13,9.31,39707.46,36930.6
2019/8/27,9.1,9.23,9.1,9.2,29872.03,27400.24
2019/8/26,8.9,9.18,8.9,9.09,21738.24,19622.09
2019/8/23,9.12,9.14,9.04,9.06,10223.14,9279.9
2019/8/22,9.07,9.14,9.03,9.12,12310.23,11193.56
2019/8/21,9.02,9.08,9.02,9.05,7830,7086.81
2019/8/20,9.15,9.15,9.04,9.07,13386.03,12175.11
2019/8/19,9,9.14,8.98,9.14,18868.58,17136.33
2019/8/16,8.81,9.05,8.81,9.01,20097.68,18000.67
2019/8/15,8.78,8.86,8.66,8.85,11997.94,10476.91
2019/8/14,8.9,8.92,8.86,8.86,7597,6754.39
2019/8/13,8.87,8.9,8.78,8.83,8546,7545.66
2019/8/12,8.86,8.96,8.82,8.95,7648.14,6796.6
2019/8/9,8.94,8.94,8.84,8.86,7791,6927.82
2019/8/8,8.85,8.9,8.84,8.88,8019.32,7110.88
2019/8/7,8.85,8.92,8.8,8.85,10788,9533.83
2019/8/6,8.95,8.95,8.73,8.85,22645.53,20029.27
2019/8/5,9.1,9.14,9.02,9.03,14038.71,12759.1
2019/8/2,9.16,9.21,9.12,9.17,17014.99,15575.1
2019/8/1,9.23,9.39,9.23,9.34,12772.02,11873.51
2019/7/31,9.3,9.31,9.23,9.28,10156.5,9407.8
2019/7/30,9.29,9.33,9.25,9.31,9995.89,9294.03
2019/7/29,9.38,9.39,9.24,9.29,8827.39,8211.64
2019/7/26,9.25,9.32,9.23,9.32,9195.02,8544.6
2019/7/25,9.28,9.3,9.2,9.28,10333.5,9567.9
2019/7/24,9.18,9.28,9.16,9.28,9789.57,9049.9
2019/7/23,9.12,9.18,9.1,9.17,8185.5,7489.73
2019/7/22,9.29,9.29,9.11,9.11,16139.02,14786.38
2019/7/19,9.3,9.39,9.24,9.28,14493.5,13486.54
2019/7/18,9.46,9.46,9.28,9.29,23158.44,21652.81
2019/7/17,9.52,9.53,9.48,9.49,13061,12410.57
2019/7/16,9.63,9.63,9.48,9.53,26067.8,24831.99
2019/7/15,9.71,9.75,9.46,9.64,23785.5,22848.6
2019/7/12,9.67,9.8,9.61,9.7,24419.78,23729.61
2019/7/11,9.64,9.76,9.63,9.68,21447.53,20781.58
2019/7/10,9.61,9.74,9.49,9.63,32690.56,31466.2
2019/7/9,9.66,9.92,9.56,9.61,59549.72,57719.75
2019/7/8,9.46,9.96,9.25,9.82,104693.44,101381.78
2019/7/5,9.43,9.48,9.38,9.48,18418.75,17363.29
2019/7/4,9.37,9.41,9.34,9.4,17898.94,16795.08
2019/7/3,9.42,9.44,9.33,9.36,18134.79,16983.8
2019/7/2,9.42,9.45,9.39,9.45,18892.57,17799.52
2019/7/1,9.42,9.46,9.36,9.44,31694.94,29849.85
2019/6/28,9.41,9.42,9.2,9.29,21855.5,20263.4
2019/6/27,9.42,9.42,9.37,9.39,16678.53,15669.18
2019/6/26,9.41,9.42,9.34,9.37,11409.76,10694.31
2019/6/25,9.59,9.62,9.37,9.55,25847,24492.14
2019/6/24,9.55,9.6,9.52,9.59,20897.88,19977.52
2019/6/21,9.5,9.63,9.5,9.57,31670.55,30290.94
2019/6/20,9.35,9.55,9.28,9.51,34749.99,32794.53
2019/6/19,9.32,9.36,9.26,9.32,38634.03,35987.64
2019/6/18,9.22,9.23,9.16,9.2,16943.03,15577.57
2019/6/17,9.12,9.21,9.1,9.2,20998.04,19249.39
2019/6/14,9.2,9.2,9.07,9.11,17660.12,16118.37
2019/6/13,9.14,9.18,9.09,9.17,16835.45,15374.24
2019/6/12,9.2,9.23,9.1,9.16,24238.88,22207.24
2019/6/11,8.99,9.2,8.98,9.19,27678.1,25254.38
2019/6/10,8.98,9.03,8.91,8.99,12514.13,11236.87
2019/6/6,9.01,9.03,8.9,8.94,18430.5,16484.82
2019/6/5,9.03,9.09,9.01,9.02,13731.23,12421.2
2019/6/4,9.1,9.1,8.96,9,25508.47,22938.06
2019/6/3,9.12,9.17,9.04,9.08,16244.38,14769.71
2019/5/31,9.09,9.2,9.07,9.12,14653.62,13399.97
2019/5/30,9.15,9.15,9.03,9.09,16156.76,14652.44
2019/5/29,9.12,9.16,9.08,9.15,18776.5,17136.85
2019/5/28,9.1,9.16,9.07,9.1,24958.72,22780.19
2019/5/27,9.03,9.13,8.96,9.11,35436.22,32073.6
2019/5/24,9.1,9.13,8.99,9.01,23337.01,21088.49
2019/5/23,9.21,9.21,9.06,9.09,21413,19510.44
2019/5/22,9.36,9.36,9.18,9.22,24408.71,22572.21
2019/5/21,9.25,9.38,9.22,9.35,21443.02,19990.24
2019/5/20,9.36,9.37,9.15,9.25,26471.76,24383.32
2019/5/17,9.59,9.66,9.32,9.36,29567.66,27986.13
2019/5/16,9.52,9.6,9.49,9.6,26602.75,25432.19
2019/5/15,9.46,9.57,9.44,9.56,27792.01,26449.19
2019/5/14,9.4,9.49,9.4,9.44,18972.88,17923.58
2019/5/13,9.55,9.57,9.4,9.49,24486.05,23259.2
2019/5/10,9.54,9.63,9.39,9.63,38360.39,36696.79
2019/5/9,9.43,9.51,9.39,9.46,20247.11,19137.28
2019/5/8,9.43,9.53,9.32,9.5,31696.44,29962.69
2019/5/7,9.62,9.63,9.4,9.53,34279.2,32657.45
2019/5/6,10.1,10.12,9.39,9.48,70359.18,68299.48
2019/4/30,10.12,10.28,10.06,10.25,38512.26,39285.66
2019/4/29,10.7,10.7,9.93,10.1,135332.14,138593.99
2019/4/26,11.15,11.15,10.9,10.96,41073.4,45154.87
2019/4/25,11.52,11.55,11.09,11.11,53470.27,60657.69
2019/4/24,11.53,11.6,11.36,11.51,40903.87,46812.46
2019/4/23,11.88,11.98,11.5,11.53,63615.53,74234.62
2019/4/22,11.84,12.08,11.77,11.91,91918.15,109702.27
2019/4/19,11.71,11.82,11.66,11.78,47465.41,55704.7
2019/4/18,11.79,11.81,11.66,11.69,36395.6,42659.86
2019/4/17,11.66,11.8,11.62,11.77,49656.05,58298.76
2019/4/16,11.5,11.71,11.49,11.69,51537.03,59784.22
2019/4/15,11.67,11.83,11.57,11.57,66874.63,78060.14
2019/4/12,11.65,11.72,11.41,11.5,51760.85,59623
2019/4/11,11.8,11.84,11.65,11.65,36698.04,43026.17
2019/4/10,11.79,11.88,11.64,11.85,50361.72,59290.31
2019/4/9,11.81,11.94,11.75,11.86,49951.41,59202.79
2019/4/8,12.05,12.09,11.68,11.79,91888.93,109309.46
2019/4/4,12.11,12.14,11.99,12.07,80081.45,96494.28
2019/4/3,11.95,12.09,11.92,12.09,62903.93,75554.27
2019/4/2,12.19,12.2,11.95,12.04,90235.59,108691.67
2019/4/1,12.08,12.19,11.9,12.17,140500.64,169647.14
2019/3/29,11.59,11.93,11.51,11.88,80888.75,95348.09
2019/3/28,11.8,11.86,11.56,11.6,54371.46,63538.11
2019/3/27,11.43,11.88,11.27,11.88,87347.66,101036.57
2019/3/26,11.82,11.87,11.32,11.36,83970.6,96954.05
2019/3/25,11.67,12.09,11.57,11.82,104872.4,124029.94
2019/3/22,11.4,12.12,11.36,11.89,156033.05,184117.1
2019/3/21,11.4,11.46,11.3,11.31,54210.52,61729.56
2019/3/20,11.33,11.44,11.15,11.4,58007.45,65596.26
2019/3/19,11.39,11.48,11.3,11.38,51395.21,58482.12
2019/3/18,11.26,11.45,11.18,11.39,87623.01,99296.9
2019/3/15,10.88,11.33,10.87,11.26,91687.5,101991.74
2019/3/14,11.03,11.09,10.79,10.84,60333.18,65823.4
2019/3/13,11.09,11.31,10.91,11.06,105568.16,117221.95
2019/3/12,10.83,11.28,10.81,11.03,101445.42,111978.7
2019/3/11,10.52,10.79,10.52,10.78,62732.39,66844.43
